epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0936,1.65819,2.74213,1.4254,0.76819,0.89357,0.8871,0.43948,1.60964,1.72516,1.41062,0.000473299,0.000473299,0.000473299
2,33.3034,1.51547,1.61811,1.33825,0.92834,0.93181,0.97647,0.51861,1.51146,1.01043,1.33489,0.000937881,0.000937881,0.000937881
3,49.4178,1.48359,1.22495,1.33996,0.95125,0.91761,0.9634,0.52481,1.48667,1.05907,1.37805,0.00139067,0.00139067,0.00139067
4,65.5414,1.44404,1.03687,1.29479,0.92912,0.92113,0.98084,0.53042,1.54851,0.91258,1.41624,0.00137595,0.00137595,0.00137595
5,81.7023,1.44111,0.95156,1.30219,0.95342,0.92556,0.98248,0.51839,1.4785,0.88302,1.31542,0.00135826,0.00135826,0.00135826
6,97.8753,1.40069,0.86246,1.26745,0.97507,0.98719,0.99237,0.58896,1.43371,0.71812,1.28494,0.00134058,0.00134058,0.00134058
7,114.086,1.40132,0.82921,1.27211,0.96454,0.96995,0.98788,0.58181,1.4324,0.7171,1.31068,0.0013229,0.0013229,0.0013229
8,130.269,1.37602,0.79264,1.26658,0.9872,0.98245,0.99307,0.57666,1.4245,0.68577,1.28946,0.00130521,0.00130521,0.00130521
9,146.57,1.37348,0.75809,1.26112,0.98587,0.99062,0.99382,0.57548,1.44381,0.66776,1.31601,0.00128753,0.00128753,0.00128753
10,162.828,1.34737,0.75754,1.25626,0.9883,0.98912,0.99398,0.574,1.4488,0.6721,1.29319,0.00126985,0.00126985,0.00126985
11,179.12,1.34147,0.7411,1.25113,0.98884,0.9883,0.99125,0.60765,1.40363,0.61398,1.29142,0.00125216,0.00125216,0.00125216
12,195.54,1.32313,0.71917,1.22913,0.94405,0.9607,0.97706,0.58896,1.38984,0.70356,1.27512,0.00123448,0.00123448,0.00123448
13,211.858,1.34531,0.71538,1.242,0.97379,0.98439,0.99233,0.60047,1.39303,0.63745,1.27884,0.00121679,0.00121679,0.00121679
14,228.401,1.32002,0.70819,1.22488,0.98979,0.99318,0.99268,0.59,1.4161,0.61256,1.26945,0.00119911,0.00119911,0.00119911
15,244.724,1.30199,0.67951,1.21407,0.99198,0.99096,0.99456,0.6038,1.38027,0.58023,1.23914,0.00118143,0.00118143,0.00118143
16,261.052,1.31976,0.69824,1.217,0.98953,0.99139,0.99386,0.607,1.37067,0.61496,1.25652,0.00116374,0.00116374,0.00116374
17,277.455,1.30932,0.68746,1.21762,0.9836,0.98114,0.99322,0.60095,1.38415,0.62055,1.2676,0.00114606,0.00114606,0.00114606
18,293.849,1.29359,0.67815,1.21432,0.98979,0.99069,0.99438,0.62063,1.36629,0.5727,1.25648,0.00112837,0.00112837,0.00112837
19,310.242,1.29855,0.66053,1.21211,0.96653,0.96985,0.98768,0.58706,1.40711,0.63406,1.27808,0.00111069,0.00111069,0.00111069
20,326.679,1.2746,0.64898,1.19866,0.98951,0.99444,0.99469,0.61039,1.37989,0.58674,1.28177,0.00109301,0.00109301,0.00109301
21,343.083,1.28859,0.64504,1.21494,0.98435,0.98726,0.99285,0.63129,1.35746,0.58606,1.23281,0.00107532,0.00107532,0.00107532
22,359.531,1.26458,0.65183,1.19661,0.98647,0.98578,0.99339,0.61877,1.38216,0.5709,1.25083,0.00105764,0.00105764,0.00105764
23,375.995,1.27219,0.64023,1.19845,0.99111,0.99289,0.99421,0.60022,1.38635,0.56826,1.26709,0.00103995,0.00103995,0.00103995
24,392.411,1.24959,0.63388,1.19186,0.98838,0.99207,0.99396,0.62718,1.3861,0.55989,1.24008,0.00102227,0.00102227,0.00102227
25,408.853,1.25128,0.62572,1.19351,0.98179,0.986,0.99387,0.63513,1.34774,0.55291,1.24716,0.00100459,0.00100459,0.00100459
26,425.356,1.24626,0.61481,1.18767,0.98638,0.99069,0.99399,0.63153,1.36307,0.55952,1.25564,0.000986903,0.000986903,0.000986903
27,441.852,1.25286,0.61863,1.18677,0.99333,0.99644,0.99487,0.63832,1.32753,0.53741,1.21677,0.000969219,0.000969219,0.000969219
28,458.297,1.2404,0.61763,1.18726,0.98402,0.99381,0.99437,0.60176,1.39174,0.55918,1.2717,0.000951535,0.000951535,0.000951535
29,474.816,1.21092,0.60491,1.17816,0.984,0.9917,0.9943,0.62501,1.36815,0.54381,1.25292,0.000933851,0.000933851,0.000933851
30,491.271,1.19364,0.59742,1.17195,0.98546,0.98358,0.99397,0.63116,1.34081,0.54294,1.23258,0.000916168,0.000916168,0.000916168
31,507.802,1.19771,0.58327,1.15798,0.98876,0.99036,0.99405,0.63302,1.36627,0.54454,1.26088,0.000898484,0.000898484,0.000898484
32,524.274,1.21439,0.58898,1.16394,0.98702,0.99006,0.99285,0.63863,1.3612,0.52227,1.23891,0.0008808,0.0008808,0.0008808
33,540.8,1.1881,0.57714,1.16174,0.98228,0.99106,0.99343,0.63405,1.38683,0.53797,1.24972,0.000863116,0.000863116,0.000863116
34,557.331,1.18779,0.57671,1.15963,0.98654,0.9905,0.99428,0.63664,1.34868,0.52748,1.22691,0.000845432,0.000845432,0.000845432
35,573.807,1.17344,0.57248,1.14989,0.98882,0.98932,0.99447,0.65024,1.35301,0.51323,1.23751,0.000827748,0.000827748,0.000827748
36,590.347,1.17704,0.55972,1.1426,0.97746,0.98976,0.99212,0.637,1.33629,0.51436,1.2251,0.000810064,0.000810064,0.000810064
37,606.918,1.17742,0.56883,1.15455,0.98459,0.99097,0.99419,0.63413,1.36636,0.52412,1.22614,0.00079238,0.00079238,0.00079238
38,623.456,1.1642,0.55853,1.13928,0.9888,0.98874,0.99391,0.63207,1.34596,0.53002,1.23274,0.000774697,0.000774697,0.000774697
39,640.016,1.15709,0.56655,1.14,0.98081,0.97921,0.9926,0.63784,1.36497,0.52439,1.23836,0.000757013,0.000757013,0.000757013
40,656.517,1.15008,0.55732,1.1381,0.98507,0.99026,0.99142,0.63021,1.34804,0.51636,1.2349,0.000739329,0.000739329,0.000739329
41,673.023,1.1154,0.54383,1.12305,0.99241,0.99207,0.99402,0.64068,1.3492,0.51338,1.23194,0.000721645,0.000721645,0.000721645
42,689.467,1.13052,0.53914,1.11927,0.98421,0.98601,0.99365,0.63779,1.34686,0.51384,1.21954,0.000703961,0.000703961,0.000703961
43,706.005,1.12569,0.53729,1.12099,0.98991,0.98981,0.99375,0.64195,1.36546,0.50191,1.23407,0.000686277,0.000686277,0.000686277
44,722.462,1.13036,0.53383,1.12003,0.98959,0.99183,0.99433,0.63856,1.37294,0.50279,1.23626,0.000668593,0.000668593,0.000668593
45,738.953,1.1208,0.53485,1.11646,0.98702,0.99236,0.99455,0.64103,1.35922,0.50322,1.23715,0.000650909,0.000650909,0.000650909
46,755.484,1.10104,0.53064,1.1074,0.98533,0.99041,0.99415,0.63738,1.37793,0.5035,1.23725,0.000633226,0.000633226,0.000633226
47,771.995,1.0651,0.51983,1.1003,0.98981,0.98912,0.99449,0.64962,1.34574,0.49937,1.23627,0.000615542,0.000615542,0.000615542
48,788.544,1.08372,0.52087,1.10544,0.98842,0.98989,0.99385,0.64712,1.347,0.50413,1.2455,0.000597858,0.000597858,0.000597858
49,805.041,1.08322,0.52023,1.09579,0.99079,0.99548,0.99482,0.62793,1.37853,0.50187,1.24834,0.000580174,0.000580174,0.000580174
50,821.663,1.09609,0.5239,1.11007,0.99112,0.98909,0.9948,0.64994,1.34912,0.49632,1.22004,0.00056249,0.00056249,0.00056249
51,838.23,1.07022,0.50932,1.08986,0.99229,0.99393,0.99425,0.6412,1.36264,0.49462,1.23119,0.000544806,0.000544806,0.000544806
52,854.783,1.0728,0.52137,1.09903,0.98854,0.99368,0.99467,0.63409,1.35805,0.49616,1.24287,0.000527122,0.000527122,0.000527122
53,871.315,1.06111,0.51037,1.09275,0.99023,0.99046,0.99404,0.62835,1.38069,0.49583,1.23816,0.000509438,0.000509438,0.000509438
54,887.856,1.0529,0.50113,1.0773,0.99205,0.99466,0.99482,0.64882,1.33528,0.48541,1.22541,0.000491755,0.000491755,0.000491755
55,904.375,1.06123,0.49948,1.09069,0.99022,0.99319,0.99479,0.6339,1.37495,0.49363,1.25007,0.000474071,0.000474071,0.000474071
56,920.882,1.04839,0.49979,1.07651,0.9897,0.98894,0.99337,0.63951,1.35529,0.48633,1.24225,0.000456387,0.000456387,0.000456387
57,937.431,1.03763,0.4946,1.07992,0.99305,0.9954,0.99485,0.63455,1.36031,0.48658,1.23939,0.000438703,0.000438703,0.000438703
58,953.965,1.03282,0.49322,1.0775,0.98978,0.99498,0.99485,0.63167,1.36439,0.48719,1.23805,0.000421019,0.000421019,0.000421019
59,970.491,1.00408,0.47646,1.06715,0.98651,0.99199,0.99324,0.64938,1.36026,0.48577,1.23884,0.000403335,0.000403335,0.000403335
60,987.062,1.00367,0.47086,1.06203,0.9892,0.98803,0.9943,0.6494,1.35473,0.47756,1.23881,0.000385651,0.000385651,0.000385651
61,1003.61,1.00711,0.48204,1.06512,0.99048,0.99114,0.99446,0.63597,1.35632,0.48079,1.23995,0.000367967,0.000367967,0.000367967
62,1020.15,0.98542,0.4734,1.04608,0.98745,0.98965,0.99278,0.64075,1.36899,0.47106,1.24419,0.000350284,0.000350284,0.000350284
63,1036.66,0.98568,0.46847,1.05076,0.98644,0.98878,0.99442,0.64229,1.37313,0.47792,1.24458,0.0003326,0.0003326,0.0003326
64,1053.16,0.9794,0.46452,1.05007,0.98378,0.99075,0.99374,0.6554,1.33493,0.48156,1.22265,0.000314916,0.000314916,0.000314916
65,1069.7,0.97942,0.46169,1.05325,0.98841,0.9857,0.99357,0.6447,1.36309,0.47895,1.23837,0.000297232,0.000297232,0.000297232
66,1086.26,0.96632,0.46098,1.03754,0.9907,0.99038,0.99443,0.65178,1.34406,0.47446,1.23965,0.000279548,0.000279548,0.000279548
67,1103.08,0.96749,0.45982,1.05069,0.99122,0.99038,0.99465,0.64529,1.35964,0.47638,1.23886,0.000261864,0.000261864,0.000261864
68,1119.63,0.94538,0.44361,1.02962,0.98737,0.99126,0.99399,0.64887,1.34472,0.4665,1.24305,0.00024418,0.00024418,0.00024418
69,1136.13,0.93639,0.4418,1.02657,0.98852,0.98792,0.99382,0.64762,1.35493,0.46868,1.24741,0.000226497,0.000226497,0.000226497
70,1152.6,0.9393,0.44948,1.03477,0.98781,0.98971,0.99371,0.64598,1.36028,0.47441,1.24984,0.000208813,0.000208813,0.000208813
71,1169.6,0.92854,0.39511,1.03141,0.98644,0.98804,0.99348,0.63837,1.36084,0.47753,1.25464,0.000191129,0.000191129,0.000191129
72,1186.08,0.90134,0.38459,1.01684,0.98624,0.98351,0.99271,0.64156,1.36449,0.47842,1.25334,0.000173445,0.000173445,0.000173445
73,1202.58,0.89603,0.38477,1.01352,0.98923,0.98657,0.99434,0.64015,1.35831,0.48176,1.24791,0.000155761,0.000155761,0.000155761
74,1219.07,0.8827,0.3804,1.0093,0.98872,0.98643,0.99374,0.64568,1.37077,0.46753,1.25868,0.000138077,0.000138077,0.000138077
75,1235.58,0.87376,0.37045,1.0022,0.99005,0.98882,0.99417,0.6441,1.36762,0.46826,1.26338,0.000120393,0.000120393,0.000120393
76,1252.11,0.86419,0.36936,0.99506,0.99202,0.98895,0.99436,0.64792,1.35976,0.47142,1.25149,0.000102709,0.000102709,0.000102709
77,1268.73,0.86932,0.36918,1.0053,0.99185,0.98994,0.99462,0.65089,1.36141,0.47017,1.25601,8.50255e-05,8.50255e-05,8.50255e-05
78,1285.2,0.85222,0.36617,0.99024,0.9914,0.9892,0.99438,0.64927,1.35691,0.47167,1.24924,6.73416e-05,6.73416e-05,6.73416e-05
79,1301.67,0.84476,0.36134,0.98947,0.99203,0.98914,0.99435,0.64525,1.36077,0.47175,1.25393,4.96578e-05,4.96578e-05,4.96578e-05
80,1318.1,0.84466,0.36053,0.98683,0.99113,0.98853,0.99429,0.6451,1.36018,0.4693,1.25078,3.19739e-05,3.19739e-05,3.19739e-05
