epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6989,1.15756,2.72018,1.2254,0.73213,0.73337,0.87532,0.62545,1.02649,1.76883,1.1159,0.000329897,0.000329897,0.000329897
2,20.9413,1.07401,1.56942,1.13946,0.92055,0.88128,0.96807,0.70707,0.99967,1.03925,1.11236,0.000655023,0.000655023,0.000655023
3,31.0982,1.07037,1.3523,1.12542,0.94121,0.93696,0.96915,0.72793,0.91197,0.88187,1.07886,0.000971899,0.000971899,0.000971899
4,41.2168,1.01378,1.1207,1.10081,0.95794,0.95223,0.98353,0.73179,0.95968,0.68467,1.06101,0.000962875,0.000962875,0.000962875
5,51.3587,0.99678,0.92947,1.10252,0.97762,0.98814,0.98344,0.74488,0.90796,0.59699,1.05531,0.0009505,0.0009505,0.0009505
6,61.4259,0.99465,0.86425,1.09201,0.94391,0.96147,0.96957,0.72645,0.93103,0.64706,1.05652,0.000938125,0.000938125,0.000938125
7,71.4671,0.97835,0.78024,1.08179,0.96926,0.99327,0.98963,0.75717,0.91353,0.50226,1.04005,0.00092575,0.00092575,0.00092575
8,81.5812,0.98579,0.72903,1.09474,0.96828,0.96784,0.98788,0.73873,0.94482,0.53456,1.05699,0.000913375,0.000913375,0.000913375
9,91.7204,0.92791,0.67334,1.05661,0.98173,0.98169,0.98765,0.76537,0.87439,0.45502,1.01841,0.000901,0.000901,0.000901
10,101.848,0.91432,0.64477,1.04178,0.97711,0.99281,0.98885,0.76307,0.89239,0.43537,1.03254,0.000888625,0.000888625,0.000888625
11,112.019,0.90651,0.6128,1.04171,0.97821,0.99593,0.98988,0.75399,0.89527,0.41648,1.03965,0.00087625,0.00087625,0.00087625
12,122.156,0.91175,0.58628,1.0459,0.97964,0.99074,0.9886,0.76405,0.88704,0.4078,1.02383,0.000863875,0.000863875,0.000863875
13,132.35,0.88134,0.55122,1.0275,0.98279,0.99353,0.98456,0.77357,0.81678,0.39512,1.00468,0.0008515,0.0008515,0.0008515
14,142.527,0.89022,0.56615,1.03564,0.97717,0.98851,0.98564,0.7681,0.84964,0.38818,1.00288,0.000839125,0.000839125,0.000839125
15,152.701,0.87204,0.5573,1.0225,0.9786,0.99454,0.98736,0.77449,0.85387,0.38518,1.00903,0.00082675,0.00082675,0.00082675
16,162.842,0.86086,0.53109,1.02886,0.97835,0.99366,0.98263,0.76149,0.86067,0.39538,1.01521,0.000814375,0.000814375,0.000814375
17,173.007,0.86536,0.52224,1.02184,0.98328,0.99511,0.98922,0.78638,0.82718,0.36659,0.99924,0.000802,0.000802,0.000802
18,183.22,0.86646,0.52363,1.03128,0.97807,0.99604,0.98916,0.76686,0.87144,0.37099,1.00793,0.000789625,0.000789625,0.000789625
19,193.395,0.87853,0.51743,1.03863,0.9645,0.98143,0.98433,0.75793,0.92338,0.44111,1.04229,0.00077725,0.00077725,0.00077725
20,203.592,0.83343,0.49657,1.01388,0.98077,0.99587,0.98867,0.7712,0.83731,0.34776,1.00031,0.000764875,0.000764875,0.000764875
21,213.812,0.83727,0.48983,1.02159,0.98464,0.99416,0.98809,0.77847,0.83689,0.36283,0.99522,0.0007525,0.0007525,0.0007525
22,224.012,0.83988,0.49196,1.00945,0.96771,0.9628,0.97825,0.75648,0.90093,0.46047,1.03096,0.000740125,0.000740125,0.000740125
23,234.276,0.83716,0.47864,1.01068,0.98594,0.99141,0.98707,0.78308,0.86471,0.35582,1.01141,0.00072775,0.00072775,0.00072775
24,244.449,0.82712,0.48088,1.01456,0.98682,0.98724,0.98553,0.78696,0.86,0.37798,1.00281,0.000715375,0.000715375,0.000715375
25,254.736,0.81325,0.45879,1.00749,0.98581,0.99679,0.9908,0.79728,0.83704,0.34986,1.00172,0.000703,0.000703,0.000703
26,264.973,0.81772,0.4697,1.00724,0.98649,0.99424,0.98624,0.78506,0.83419,0.35215,1.00533,0.000690625,0.000690625,0.000690625
27,275.213,0.80452,0.45445,1.00341,0.98011,0.9971,0.98903,0.78611,0.80423,0.33659,0.98352,0.00067825,0.00067825,0.00067825
28,285.44,0.82963,0.4612,1.01093,0.97726,0.99556,0.98731,0.79511,0.82338,0.33305,0.9904,0.000665875,0.000665875,0.000665875
29,295.705,0.80028,0.44172,0.9924,0.98516,0.98955,0.98824,0.78668,0.84769,0.3477,1.00468,0.0006535,0.0006535,0.0006535
30,305.956,0.78644,0.43207,0.9994,0.9845,0.9968,0.98649,0.77648,0.87766,0.35328,1.01257,0.000641125,0.000641125,0.000641125
